Area,Item,Value
Austria,Olive Oil,0.93
Austria,Maize Germ Oil,0
Austria,"Oilcrops Oil, Other",0.87
Austria,Tomatoes and products,13.83
Austria,Onions,10.49
Austria,"Vegetables, other",75.84
Austria,"Oranges, Mandarines",9.33
Austria,"Lemons, Limes and products",3.79
Austria,Grapefruit and products,0.33
Austria,"Citrus, Other",0.2
Austria,Bananas,13.6
Austria,Plantains,0.04
Austria,Apples and products,20.77
Austria,Pineapples and products,1.8
Austria,Dates,0.23
Austria,Grapes and products (excl wine),5.03
Austria,"Fruits, other",30.85
Austria,Coffee and products,7.28
Austria,Cocoa Beans and products,0
Austria,Tea (including mate),0.34
Austria,Pepper,0.18
Austria,Pimento,0.27
Austria,Cloves,0.01
Austria,"Spices, Other",0.59
Austria,Bovine Meat,16.08
Austria,Mutton & Goat Meat,1.16
Austria,Poultry Meat,15.56
Austria,"Meat, Other",0.59
Austria,"Offals, Edible",4.05
Austria,"Butter, Ghee",5.2
Austria,Cream,8.25
Austria,"Fats, Animals, Raw",3.52
Austria,"Fish, Body Oil",0
Austria,"Fish, Liver Oil",0
Austria,Eggs,14.01
Austria,Milk - Excluding Butter,188.21
Austria,Freshwater Fish,4.29
Austria,Demersal Fish,2.77
Austria,Pelagic Fish,3.67
Austria,"Marine Fish, Other",0.78
Austria,Crustaceans,2.05
Austria,Cephalopods,0.27
Austria,"Molluscs, Other",0.51
Austria,"Aquatic Animals, Others",0.02
Austria,Aquatic Plants,0
Austria,Infant food,0.04
Austria,Miscellaneous,0
Azerbaijan,Wheat and products,202.86
Azerbaijan,Rice and products,3.28
Azerbaijan,Barley and products,0
Azerbaijan,Maize and products,12.33
Azerbaijan,Rye and products,0.24
Azerbaijan,Oats,0.14
Azerbaijan,Sorghum and products,0
Azerbaijan,"Cereals, Other",0.79
Azerbaijan,Cassava and products,0
Azerbaijan,Potatoes and products,81.3
Azerbaijan,Sweet potatoes,0
Azerbaijan,"Roots, Other",0
Azerbaijan,Sugar cane,0
Azerbaijan,Sugar (Raw Equivalent),22.1
Azerbaijan,"Sweeteners, Other",31.24
Azerbaijan,Honey,0.49
Azerbaijan,Beans,0.57
Azerbaijan,"Pulses, Other and products",0.01
Azerbaijan,Nuts and products,3.14
Azerbaijan,Soyabeans,0.01
Azerbaijan,Groundnuts,0.33
Azerbaijan,Rape and Mustardseed,0
Azerbaijan,Coconuts - Incl Copra,0.04
Azerbaijan,Olives (including preserved),0.1
Azerbaijan,"Oilcrops, Other",0
Azerbaijan,Soyabean Oil,0.01
Azerbaijan,Groundnut Oil,0
Azerbaijan,Sunflowerseed Oil,3.19
Azerbaijan,Rape and Mustard Oil,0
Azerbaijan,Cottonseed Oil,0
Azerbaijan,Palmkernel Oil,0
Azerbaijan,Palm Oil,0
Azerbaijan,Coconut Oil,0.03
Azerbaijan,Sesameseed Oil,0
Azerbaijan,Olive Oil,0.11
Azerbaijan,Maize Germ Oil,1.34
Azerbaijan,"Oilcrops Oil, Other",5.38
Azerbaijan,Tomatoes and products,51.97
Azerbaijan,Onions,22.45
Azerbaijan,"Vegetables, other",110.33
Azerbaijan,"Oranges, Mandarines",6.5
Azerbaijan,"Lemons, Limes and products",1.81
Azerbaijan,Grapefruit and products,0.18
Azerbaijan,"Citrus, Other",0.37
Azerbaijan,Bananas,3.96
Azerbaijan,Plantains,0
Azerbaijan,Apples and products,15.11
Azerbaijan,Pineapples and products,0.26
Azerbaijan,Dates,0.56
Azerbaijan,Grapes and products (excl wine),17.04
Azerbaijan,"Fruits, other",40.8
Azerbaijan,Coffee and products,0.15
Azerbaijan,Cocoa Beans and products,0
Azerbaijan,Tea (including mate),1.34
Azerbaijan,Pepper,0.02
Azerbaijan,Pimento,0.01
Azerbaijan,"Spices, Other",0.11
Azerbaijan,Bovine Meat,12.46
Azerbaijan,Mutton & Goat Meat,8.31
Azerbaijan,Poultry Meat,14.52
Azerbaijan,"Meat, Other",0
Azerbaijan,"Offals, Edible",4.67
Azerbaijan,"Butter, Ghee",3.61
Azerbaijan,Cream,0
Azerbaijan,"Fats, Animals, Raw",2.25
Azerbaijan,"Fish, Body Oil",0
Azerbaijan,Eggs,9.11
Azerbaijan,Milk - Excluding Butter,150.67
Azerbaijan,Freshwater Fish,0.77
